TMDL TARGET DATE(S) ++,NOTE,BASIN,HUC,LOCATION,STATION,COUNTY,USE,CAUSE
,,,,,,,,
2009,*,PEEDEE,030402020307,LYNCHES RVR AT US 1,PD-009,CHESTERFIELD,REC,FC
,,,,,,,,
2010,,PEEDEE,030402020403,NEWMAN SWP AT S-16-449 0.9 MI NE OF LAMAR,PD-229,DARLINGTON,AL,DO
2008,*,PEEDEE,030402020403,NEWMAN SWP AT S-16-449 0.9 MI NE OF LAMAR,PD-229,DARLINGTON,REC,FC
,,,,,,,,
2009,*,PEEDEE,030402020405,SPARROW SWP AT S-16-697 2.5 MI E OF LAMAR,PD-072,DARLINGTON,REC,FC
"2016, 2016, 2016",,PEEDEE,030402020405,SPARROW SWAMP AT US 76 1.1 MI SOUTHWEST OF TIMMONSVILLE. SITE IS A USGS GAUGING SITE.,RS-04548,FLORENCE,AL,CR
"2016, 2016, 2016",,PEEDEE,030402020405,SPARROW SWAMP AT US 76 1.1 MI SOUTHWEST OF TIMMONSVILLE. SITE IS A USGS GAUGING SITE.,RS-04548,FLORENCE,AL,CU
"2016, 2016, 2016",,PEEDEE,030402020405,SPARROW SWAMP AT US 76 1.1 MI SOUTHWEST OF TIMMONSVILLE. SITE IS A USGS GAUGING SITE.,RS-04548,FLORENCE,AL,NI
,,,,,,,,
"2016, 2016, 2016",,PEEDEE,030402020406,LAKE SWAMP AT S-21-38,PD-345,FLORENCE,AL,NI
"2016, 2016, 2016",,PEEDEE,030402020406,LAKE SWAMP AT S-21-38,PD-345,FLORENCE,AL,CR
"2016, 2016, 2016",,PEEDEE,030402020406,LAKE SWAMP AT S-21-38,PD-345,FLORENCE,AL,CU
2016,,PEEDEE,030402020406,LAKE SWAMP AT S-21-38,PD-345,FLORENCE,REC,FC
,,,,,,,,
2017,,PEEDEE,030402020503,LYNCHES RIVER @ HWY 15,PD-071,LEE,FISH,HG
2010,,PEEDEE,030402020503,COUSAR BR 1/4 MI BELOW BISHOPVILLE FINISHING CO,PD-112,LEE,AL,PH
,,,,,,,,
2017,,PEEDEE,030402020504,LYNCHES RIVER @ SC 401,PD-364,LEE,FISH,HG
,,,,,,,,
2015,,PEEDEE,030402020505,LYNCHES RIVER AT S-21-55,PD-093,FLORENCE,AL,PH
2015,,PEEDEE,030402020505,LYNCHES RIVER AT SC 403,PD-319,FLORENCE,AL,PH
,,,,,,,,
2010,,PEEDEE,030402020601,CAMP BRANCH AT S-21-278,PD-346,FLORENCE,AL,DO
2010,,PEEDEE,030402020601,CAMP BRANCH AT S-21-278,PD-346,FLORENCE,REC,FC
,,,,,,,,
2012,,PEEDEE,030402020602,SINGLETON SWAMP AT S-21-67,PD-314,FLORENCE,AL,DO
2010,,PEEDEE,030402020602,SINGLETON SWAMP AT S-21-67,PD-314,FLORENCE,REC,FC
,,,,,,,,
2016,,PEEDEE,030402020603,LAKE SWAMP ON SC 341,PD-086A,FLORENCE,AL,DO
,,,,,,,,
"2016, 2016",,PEEDEE,030402020604,LAKE SWAMP AT SC 341 2.6 MI W OF JOHNSONVILLE,PD-087,FLORENCE,AL,CU
"2016, 2016",,PEEDEE,030402020604,LAKE SWAMP AT SC 341 2.6 MI W OF JOHNSONVILLE,PD-087,FLORENCE,AL,NI
2010,,PEEDEE,030402020701,LYNCHES RVR AT US 52 NEAR EFFINGHAM,PD-041,FLORENCE,AL,PH
2017,,PEEDEE,030402020701,LYNCHES RIVER @ US 52,PD-624,FLORENCE,FISH,HG
,,,,,,,,
2010,,PEEDEE,030402020703,BIG SWP AT S-21-360 1.1 MI W OF PAMPLICO,PD-168,FLORENCE,AL,DO
2009,*,PEEDEE,030402020703,BIG SWP AT S-21-360 1.1 MI W OF PAMPLICO,PD-168,FLORENCE,REC,FC
2010,,PEEDEE,030402020703,BIG SWP AT US 378 & SC 51 0.9 MI W OF SALEM,PD-169,FLORENCE,AL,DO
"2015, 2015, 2015",,PEEDEE,030402020704,LYNCHES RVR AT S-21-49 5 MI NW JOHNSONVILLE,PD-281,FLORENCE,AL,CU
"2015, 2015, 2015",,PEEDEE,030402020704,LYNCHES RVR AT S-21-49 5 MI NW JOHNSONVILLE,PD-281,FLORENCE,AL,NI
"2015, 2015, 2015",,PEEDEE,030402020704,LYNCHES RVR AT S-21-49 5 MI NW JOHNSONVILLE,PD-281,FLORENCE,AL,PH
2017,,PEEDEE,030402020705,LYNCHES RIVER @ JOHNSONVILLE,PD-048,FLORENCE,FISH,HG
,,,,,,,,
2010,,PEEDEE,030402031302,BEAR SWAMP AT S-17-56,PD-368,DILLON,AL,DO
,,,,,,,,
2017,,PEEDEE,030402031404,LUMBER RIVER @ RICEFIELD COVE,PD-038,HORRY,FISH,HG
2017,,PEEDEE,030402031404,LUMBER RIVER @ CAUSEY LANDING,PD-664,HORRY,FISH,HG
,,,,,,,,
2010,,PEEDEE,030402040403,BUCK SWP AT S-17-33,PD-031,DILLON,AL,DO
,,,,,,,,
2010,,PEEDEE,030402040404,BUCK SWAMP AT S-17-42,PD-349,DILLON,AL,DO
2008,*,PEEDEE,030402040404,BUCK SWAMP AT S-17-42,PD-349,DILLON,REC,FC
,,,,,,,,
2017,,PEEDEE,030402040504,LITTLE PEE DEE RIVER @ MOCOCASIN'S BLUFF,PD-283,DILLON,FISH,HG
,,,,,,,,
2011,,PEEDEE,030402040505,MAPLE SWP AT SC 57,PD-030,DILLON,AL,DO
,,,,,,,,
2017,,PEEDEE,030402040506,LITTLE PEE DEE RIVER @ DILLON COUNTY PARK,PD-030A,DILLON,FISH,HG
2017,,PEEDEE,030402040506,LITTLE PEE DEE RIVER @ FLOYDALE BRIDGE,PD-618,DILLON,FISH,HG
,,,,,,,,
2016,,PEEDEE,030402040508,LITTLE PEE DEE AT S-34-60,PD-052,MARION,AL,CU
2017,,PEEDEE,030402040508,LITTLE PEE DEE RIVER @ GILCREST LANDING,PD-053,MARION,FISH,HG
,,,,,,,,
2020,,PEEDEE,030402040601,BOB'S BRANCH AT BRIDGE ON S-26-637 2.2 MI N OF GREEN SEA,RS-06009,HORRY,AL,DO
,,,,,,,,
2010,,PEEDEE,030402040604,LOOSING SWAMP AT S-26-23 3.7 MI NE OF AYNOR,RS-03513,HORRY,AL,DO
,,,,,,,,
2010,,PEEDEE,030402040801,CEDAR CREEK AT S-26-23,PD-351,HORRY,AL,DO
,,,,,,,,
2017,,PEEDEE,030402040803,LITTLE PEE DEE RIVER @ SANDY BLUFF,PD-054,HORRY,FISH,HG
2017,,PEEDEE,030402040803,LITTLE PEE DEE RIVER @ RED BLUFF,PD-654,MARION,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402040804,LITTLE PEE DEE RIVER @ GALAVANTS FERRY,PD-619,MARION,FISH,HG
2017,,PEEDEE,030402040804,LITTLE PEE DEE RIVER @ DAVIS LANDING,PD-655,MARION,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402040808,LITTLE PEE DEE RIVER @ LOCUST TREE LANDING,PD-656,MARION,FISH,HG
2017,,PEEDEE,030402040808,LITTLE PEE DEE RIVER @ GUNTER'S LAKE,PD-657,HORRY,FISH,HG
2017,,PEEDEE,030402040808,LITTLE PEE DEE @ HUGHES LANDING,PD-691,HORRY,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402040810,LITTLE PEE DEE RIVER @ PUNCHBOWL LAND,PD-350,HORRY,FISH,HG
2017,,PEEDEE,030402040810,LITTLE PEE DEE RIVER @ HWY 378,PD-620,HORRY,FISH,HG
2017,,PEEDEE,030402040810,LITTLE PEE DEE RIVER @ SAMPSON LANDING,PD-658,MARION,FISH,HG
2017,,PEEDEE,030402040810,RUSS CREEK @ PARKERS LANDING,PD-665,MARION,FISH,HG
,,,,,,,,
2015,,PEEDEE,030402050103,BEAVER DAM CREEK AT S-31-313,PD-636,LEE,AL,BIO
"2012, 2012",,PEEDEE,030402050104,"LAKE ASHWOOD, FOREBAY EQUIDISTANT FROM DAM AND SHORELINES",CL-077,LEE,AL,CHLA
"2012, 2012",,PEEDEE,030402050104,"LAKE ASHWOOD, FOREBAY EQUIDISTANT FROM DAM AND SHORELINES",CL-077,LEE,AL,TN
2011,,PEEDEE,030402050104,MECHANICSVILLE SWAMP AT S-31-500,PD-356,LEE,AL,DO
2011,,PEEDEE,030402050104,"MCGIRTS CREEK AT COUNTY RD 73, 7.5 M SW OF BISHOPVILLE",RS-01017,LEE,AL,DO
"2010, 2010",,PEEDEE,030402050203,UNNAMED DRAINAGE CANAL TO ATKINS CANAL AT SC 527 (3/4 MI N OF US 76),PD-354,LEE,AL,DO
"2010, 2010",,PEEDEE,030402050203,UNNAMED DRAINAGE CANAL TO ATKINS CANAL AT SC 527 (3/4 MI N OF US 76),PD-354,LEE,AL,PH
2010,,PEEDEE,030402050203,UNNAMED DRAINAGE CANAL TO ATKINS CANAL AT SC 527 (3/4 MI N OF US 76),PD-354,LEE,REC,FC
,,,,,,,,
2010,,PEEDEE,030402050301,GREEN SWP AT S-43-33,PD-039,SUMTER,AL,DO
,,,,,,,,
2010,,PEEDEE,030402050302,NASTY BR AT S-43-251 7.5 MI SW OF SUMTER,PD-239,SUMTER,AL,DO
"2020, 2020",,PEEDEE,030402050303,BRUNSON SWAMP CREEK AT S-43-251 - 1.3 MI W OF SC 120 - 9.25 MI SW SUMTER,RS-03345,SUMTER,AL,DO
"2020, 2020",,PEEDEE,030402050303,BRUNSON SWAMP CREEK AT S-43-251 - 1.3 MI W OF SC 120 - 9.25 MI SW SUMTER,RS-03345,SUMTER,AL,PH
2011,,PEEDEE,030402050303,BRUNSON SWAMP CREEK AT S-43-251 - 1.3 MI W OF SC 120 - 9.25 MI SW SUMTER,RS-03345,SUMTER,REC,FC
,,,,,,,,
2017,,PEEDEE,030402050401,TURKEY CREEK,PD-040,SUMTER,FISH,HG
2011,,PEEDEE,030402050401,POCOTALIGO RVR AT US 15 3.5 MI S SUMTER,PD-091,SUMTER,AL,DO
2011,,PEEDEE,030402050401,POCOTALIGO RVR AT S-43-32 9 MI SSE OF SUMTER,PD-202,SUMTER,AL,DO
2015,,PEEDEE,030402050401,BRIAR BRANCH AT S-43-459,PD-617,SUMTER,AL,BIO
,,,,,,,,
2015,,PEEDEE,030402050404,BIG BR. AT SC 261,PD-627,CLARENDON,AL,BIO
"2020, 2020",,PEEDEE,030402050406,DEEP CREEK AT S-14-25 AND 1.2 MI NE OF BLOOMVILLE,RS-03347,CLARENDON,AL,DO
"2020, 2020",,PEEDEE,030402050406,DEEP CREEK AT S-14-25 AND 1.2 MI NE OF BLOOMVILLE,RS-03347,CLARENDON,AL,PH
2009,*,PEEDEE,030402050406,DEEP CREEK AT S-14-25 AND 1.2 MI NE OF BLOOMVILLE,RS-03347,CLARENDON,REC,FC
,,,,,,,,
2009,*,PEEDEE,030402050407,POCOTALIGO RVR AT S-14-50 9.5 MI NE MANNING,PD-043,CLARENDON,AL,DO
2011,,PEEDEE,030402050407,POCOTALIGO RVR AT S-14-50 9.5 MI NE MANNING,PD-043,CLARENDON,REC,FC
2017,,PEEDEE,030402050407,POCOTALIGO RVR AT S-14-50 9.5 MI NE MANNING,PD-043,CLARENDON,FISH,HG
2009,*,PEEDEE,030402050407,POCOTALIGO RVR AT 3RD BRDG N OF MANNING ON US 301,PD-115,CLARENDON,AL,DO
,,,,,,,,
2010,,PEEDEE,030402050502,"DOUGLAS SWAMP OFF THIGPEN ROAD BEHIND WHITE HOUSE, 3.5 M E OF TURBEVILLE",RS-01002,FLORENCE,AL,DO
,,,,,,,,
2018,,PEEDEE,030402050503,HORSE BRANCH AT S-14-106 1.2 MI SE OF TURBEVILLE,RS-05557,CLARENDON,REC,FC
,,,,,,,,
2010,,PEEDEE,030402050603,BLACK RVR AT S-14-40 E OF MANNING,PD-116,CLARENDON,AL,DO
2010,,PEEDEE,030402050603,BLACK RVR AT S-14-40 E OF MANNING,PD-116,CLARENDON,REC,FC
,,,,,,,,
2010,,PEEDEE,030402050701,CLAPP SWAMP AT SC 527,RS-02325,WILLIAMSBURG,AL,DO
,,,,,,,,
2017,,PEEDEE,030402050710,BLACK RIVER @ KINGSTREE,PD-044,WILLIAMSBURG,FISH,HG
,,,,,,,,
2010,,PEEDEE,030402050805,BLACK MINGO CREEK AT S-45-121,PD-360,WILLIAMSBURG,AL,DO
,,,,,,,,
2017,,PEEDEE,030402050806,MINGO CREEK,PD-172,GEORGETOWN,FISH,HG
2014,,PEEDEE,030402050806,SMITH SWAMP AT BRIDGE ON SC 51 12.2 MI S OF HEMINGWAY,RS-06189,GEORGETOWN,AL,DO
,,,,,,,,
2013,,PEEDEE,030402050903,SPRING GULLY AT BRIDGE ON US 521 3.8 MI NE OF TRIO,RS-04533,WILLIAMSBURG,AL,BIO
,,,,,,,,
2017,,PEEDEE,030402050906,BLACK RIVER @ PINE TREE LANDING,PD-046,GEORGETOWN,FISH,HG
2010,,PEEDEE,030402050906,BLACK RVR AT SC 51 11.6 MI NE OF ANDREWS,PD-170,GEORGETOWN,AL,DO
2017,,PEEDEE,030402050906,BLACK RVR AT SC 51 11.6 MI NE OF ANDREWS,PD-170,GEORGETOWN,FISH,HG
2017,,PEEDEE,030402050906,BLACK RIVER @ PUMPHOUSE LANDING,PD-626,WILLIAMSBURG,FISH,HG
2017,,PEEDEE,030402050906,BLACK RIVER @ OLD PUMP STATION,PD-659,GEORGETOWN,FISH,HG
2017,,PEEDEE,030402050906,BLACK RIVER @ PEA HOUSE LANDING,PD-692,GEORGETOWN,FISH,HG
,,,,,,,,
2009,*,PEEDEE,030402050908,GREENS CREEK AT S-22-318 (JOHNSON ROAD) 7.7 MI NW OF GEORGETOWN,RS-03353,GEORGETOWN,REC,FC
,,,,,,,,
2017,,PEEDEE,030402050909,BLACK RIVER @ PETER'S CREEK,PD-171,GEORGETOWN,FISH,HG
2017,,PEEDEE,030402050909,BLACK RIVER @ ROCKY POINT,PD-660,GEORGETOWN,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402050910,BLACK RIVER @ PRINGLE'S FERRY,PD-661,GEORGETOWN,FISH,HG
,,,,,,,,
"2016, 2016",,PEEDEE,030402060703,BUCK CREEK AT SC 905,PD-362,HORRY,AL,CU
"2016, 2016",,PEEDEE,030402060703,BUCK CREEK AT SC 905,PD-362,HORRY,AL,NI
2015,,PEEDEE,030402060704,WACCAMAW RVR AT SC 9 7.0 MI W OF CHERRY GROVE,MD-124,HORRY,AL,CU
2017,,PEEDEE,030402060704,WACCAMAW RVR AT SC 9 7.0 MI W OF CHERRY GROVE,MD-124,HORRY,FISH,HG
,,,,,,,,
"2015, 2015",,PEEDEE,030402060705,SIMPSON CREEK AT SC 905,PD-363,HORRY,AL,NI
"2015, 2015",,PEEDEE,030402060705,SIMPSON CREEK AT SC 905,PD-363,HORRY,AL,ZN
2019,,PEEDEE,030402060802,HELLHOLE SWAMP AT S-26-67 6.6 MI SW OF LORIS,RS-05561,HORRY,AL,DO
,,,,,,,,
2020,,PEEDEE,030402060803,KINGSTON LK NR PUMP STA ON LAKESIDE DR CONWAY,MD-107,HORRY,AL,DO
2009,*,PEEDEE,030402060803,KINGSTON LK NR PUMP STA ON LAKESIDE DR CONWAY,MD-107,HORRY,REC,FC
2019,,PEEDEE,030402060803,CRAB TREE SWAMP AT LONG ST BL OUTFALL OF CONWAY #1 POND,MD-158,HORRY,AL,DO
2019,,PEEDEE,030402060803,CRAB TREE SWAMP AT BRIDGE ON US 501 1.5 MI NW OF CONWAY,RS-04375,HORRY,AL,DO
2009,*,PEEDEE,030402060803,CRAB TREE SWAMP AT BRIDGE ON US 501 1.5 MI NW OF CONWAY,RS-04375,HORRY,REC,FC
,,,,,,,,
2017,,PEEDEE,030402060902,WACCAMAW RIVER @ SC 31,CSTL-553,HORRY,FISH,HG
2017,,PEEDEE,030402060902,WACCAMAW RIVER @ SEC RD 105,CSTL-554,HORRY,FISH,HG
,,,,,,,,
2018,,PEEDEE,030402060903,STERITT SWAMP AT BRIDGE ON UNNUMBERED DIRT RD(STERITT SWAMP RD) ACROSS FROM HORRY CO SOLID WASTE AUTHORITY 4.8 MI E OF CONWAY,RS-06165,HORRY,AL,DO
2018,,PEEDEE,030402060903,STERITT SWAMP AT BRIDGE ON UNNUMBERED DIRT RD(STERITT SWAMP RD) ACROSS FROM HORRY CO SOLID WASTE AUTHORITY 4.8 MI E OF CONWAY,RS-06165,HORRY,REC,FC
,,,,,,,,
2017,,PEEDEE,030402060904,WACCAMAW RIVER @ SEC RD 901,CSTL-555,HORRY,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402060905,WACCAMAW RIVER @ PITCH LANDING,CSTL-556,HORRY,FISH,HG
2017,,PEEDEE,030402060905,WACCAMAW RIVER @ TODDVILLE,MD-144,HORRY,FISH,HG
2015,,PEEDEE,030402060905,BEAR SWAMP AT S-26-110,PD-638,HORRY,AL,BIO
,,,,,,,,
2017,,PEEDEE,030402060906,INTRACOASTAL WATERWAY @ SOCASTEE,CSTL-558,HORRY,FISH,HG
2011,,PEEDEE,030402060906,UNNAMED TRIBUTARYTO INTERCOASTAL WATERWAY AT SC 707 1.2 MI ENE OF SOCASTEE & SC 544,RS-03332,HORRY,REC,FC
,,,,,,,,
2017,,PEEDEE,030402060907,WACCAMAW RIVER @ PEACH TREE,MD-136,HORRY,FISH,HG
2017,,PEEDEE,030402060907,WACCAMAW RIVER @ BUCKSVILLE,MD-145,HORRY,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402061002,WACCAMAW RIVER @ BUCKSPORT LANDING,CSTL-557,HORRY,FISH,HG
2017,,PEEDEE,030402061002,WACCAMAW RIVER @ WACCA WACHE LANDING,MD-138,GEORGETOWN,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402061003,WACCAMAW RIVER @ SANDY ISLAND,MD-140,GEORGETOWN,FISH,HG
2017,,PEEDEE,030402061003,WACCAMAW RIVER @ HAGLEY LANDING,MD-141,GEORGETOWN,FISH,HG
,,,,,,,,
2014,,PEEDEE,030402070103,SAMPIT RVR BTWN MOUTHS OF PORTS CK & PENNY ROYAL CK,MD-075,GEORGETOWN,AL,DO
,,,,,,,,
2014,#,PEEDEE,030402070106,SAMPIT RVR OPP AMER CYANAMID CHEM CO,MD-073,GEORGETOWN,AL,DO
"2014, 2014",#,PEEDEE,030402070106,SAMPIT RVR AT CHANNEL MARKER #30,MD-074,GEORGETOWN,AL,DO
"2014, 2014",#,PEEDEE,030402070106,SAMPIT RVR AT CHANNEL MARKER #30,MD-074,GEORGETOWN,AL,PH
2014,#,PEEDEE,030402070106,SAMPIT RVR AT US 17,MD-077,GEORGETOWN,AL,DO
2014,,PEEDEE,030402070106,WHITES CK 100 YDS UPSTRM OF JCT WITH SAMPIT RVR,MD-149,GEORGETOWN,REC,FC
2017,,PEEDEE,030402070106,SAMPIT RIVER APPROXIMATELY 1.4 MILES WEST OF US 17 BRIDGE,PD-628,GEORGETOWN,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402070203,CLARKS CREEK @ SNOW LAKE,PD-317,WILLIAMSBURG,FISH,HG
2017,,PEEDEE,030402070203,GREAT PEE DEE RIVER @ STAPLES LAKE,PD-621,WILLIAMSBURG,FISH,HG
,,,,,,,,
2016,,PEEDEE,030402070204,PEE DEE RVR AT PETERS FIELD LANDING OFF S-22-36 US IP PUMP STATION,PD-060,GEORGETOWN,AL,CU
2017,,PEEDEE,030402070204,PEE DEE RVR AT PETERS FIELD LANDING OFF S-22-36 US IP PUMP STATION,PD-060,GEORGETOWN,FISH,HG
,,,,,,,,
2017,,PEEDEE,030402070205,GREAT PEE DEE RIVER ABOVE HWY 701 BRIDGE,CSTL-559,HORRY,FISH,HG
,,,,,,,,
2010,#,PEEDEE,030402070207,WINYAH BAY AT JCT OF PEE DEE & WACCAMAW AT MARKER 92,MD-080,GEORGETOWN,AL,PH
2016,#,PEEDEE,030402070207,PEE DEE RVR AT WHITE HOUSE PLANTATION,MD-275,GEORGETOWN,AL,CU
2017,,PEEDEE,030402070207,GREAT PEE DEE RIVER @ SAMWORTH WMA,PD-663,GEORGETOWN,FISH,HG
2017,,PEEDEE,030402070207,CYPRESS CREEK AT BRIDGE ON S-22-264 1.5 MI SE OF PLANTERSVILLE,RS-06013,GEORGETOWN,REC,FC
,,,,,,,,
2012,,PEEDEE,030402070208,JONES CREEK AT NANCY CREEK,05-01,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402070208,OYSTER BAY NEAR CUTOFF CREEK,05-05,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402070208,MUD BAY AT NO MAN'S FRIEND CREEK  ,05-06,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402070208,JONES CREEK AT MUD BAY,05-07,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402070208,"WINYAH BAY MAIN CHANNEL, BUOY 19A, RANGE E",05-20,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402070208,"WINYAH BAY MAIN CHANNEL, BUOY 17, RANGE E",05-21,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402070208,"WINYAH BAY, TIP OF WESTERN CHANNEL ISLAND",05-25,GEORGETOWN,SHELLFISH,FC
,,,,,,,,
2016,,PEEDEE,030402080301,INTRACOASTAL WTRWAY AT PT 3 MI N OF BRDG ON US 501,MD-085,HORRY,AL,CU
2016,,PEEDEE,030402080301,INTRACOASTAL WTRWY (LITTLE RVR) ON SC 9 (US 17),MD-125,HORRY,AL,CU
2017,,PEEDEE,030402080301,INTRACOASTAL WATERWAY @ NORTH MYRTLE,MD-163,HORRY,FISH,HG
,,,,,,,,
2011,,PEEDEE,030402080305,LITTLE RIVER JETTY,01-01,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080305,MOUTH OF DUNN SOUND CREEK,01-02,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080305,BIG BEND UP DUNN SOUND CREEK,01-05,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080305,BRIDGE TO WAITES ISLAND,01-06,HORRY,SHELLFISH,FC
,,,,,,,,
2011,,PEEDEE,030402080306,HOG INLET,01-07,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080306,42ND AVENUE - CHERRY GROVE,01-17,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080306,53RD AVENUE BRIDGE ON CANAL,01-17A,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080306,DUNN SOUND AT HOG INLET,01-18,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080306,MAIN CREEK AT 53RD AVENUE ,01-19,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080306,WHITE POINT SWASH,02-01,HORRY,SHELLFISH,FC
"2016, 2016",,PEEDEE,030402080306,HOUSE CK AT 53RD AVE OUT FROM BOAT LANDING (01-19),MD-276,HORRY,AL,CU
"2016, 2016",,PEEDEE,030402080306,HOUSE CK AT 53RD AVE OUT FROM BOAT LANDING (01-19),MD-276,HORRY,AL,DO
2011,,PEEDEE,030402080306,WAC-005A-7TH AVE S,WAC-005A,HORRY,REC,ENTERO
2011,,PEEDEE,030402080306,WAC-09A-WHITEPOINT SWASH,WAC-009A,HORRY,REC,ENTERO
,,,,,,,,
2011,,PEEDEE,030402080307,SINGLETON SWASH,02-02,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080307,CANEPATCH SWASH,02-03,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080307,WAC-015-SINGLETON SWASH ARCADIA,WAC-015,HORRY,REC,ENTERO
,,,,,,,,
2011,,PEEDEE,030402080308,WITHERS SWASH,03-01,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080308,MIDWAY SWASH - PEBBLE BEACH,03-02,HORRY,SHELLFISH,FC
2011,,PEEDEE,030402080308,WAC-025A-MIDWAY SWASH,WAC-025A,HORRY,REC,ENTERO
,,,,,,,,
2016,,PEEDEE,030402080310,PARSONNAGE CREEK AT INLET PORT BASIN (04-17),MD-277,GEORGETOWN,AL,NH3N
,,,,,,,,
2011,,PEEDEE,030402080314,WAC-016A-CANE PATCH SWASH MB,WAC-016A,HORRY,REC,ENTERO
2011,,PEEDEE,030402080314,WAC-017A-DEEP HEAD SWASH MB,WAC-017A,HORRY,REC,ENTERO
,,,,,,,,
2011,,PEEDEE,030402080315,WAC-020-24TH AVE NORTH MB,WAC-020,HORRY,REC,ENTERO
2011,,PEEDEE,030402080315,WAC-022A-WITHERS SWASH,WAC-022A,HORRY,REC,ENTERO
,,,,,,,,
2011,,PEEDEE,030402080316,WAC-028-PIRATELAND SWASH,WAC-028,HORRY,REC,ENTERO
2011,,PEEDEE,030402080316,WAC-29A-S OCEAN LAKES,WAC-029A,HORRY,REC,ENTERO
2011,,PEEDEE,030402080316,WAC-31A-SWASH AT 5TH,WAC-031A,HORRY,REC,ENTERO
,,,,,,,,
2012,,PEEDEE,030402080402,DEBIDUE CREEK AT BOAT BASIN,05-13,GEORGETOWN,SHELLFISH,FC
2012,,PEEDEE,030402080402,DEBIDUE CREEK AND BASS HOLE BAY,05-16,GEORGETOWN,SHELLFISH,FC
,,,,,,,,
2017,,SALKEHATCHIE,030502060308,TRIB TO PINE ISLAND CK W OF PINE ISLAND,RT-02019,COLLETON,AL,CU
,,,,,,,,
2020,,SALKEHATCHIE,030502070103,LAKE EDGAR BROWN IN FOREBAY NEAR DAM,CL-064,BARNWELL,AL,CHLA
2008,*,SALKEHATCHIE,030502070103,TURKEY CK 1 MI BL MILLIKEN BARNWELL OUTFALL AT CLINTON ST.,CSTL-001B,BARNWELL,REC,FC
,,,,,,,,
2008,*,SALKEHATCHIE,030502070104,SALKEHATCHIE RVR AT SC 64 2 MI W OF BARNWELL,CSTL-028,BARNWELL,REC,FC
,,,,,,,,
2008,*,SALKEHATCHIE,030502070110,WELLS BRCH AT SC 300,RS-02472,ALLENDALE,REC,FC
,,,,,,,,
2008,*,SALKEHATCHIE,030502070111,SALKEHATCHIE RVR AT SC 278 2.5 MI S BARNWELL,CSTL-003,BARNWELL,REC,FC
,,,,,,,,
2016,,SALKEHATCHIE,030502070203,WHIPPY SWAMP AT S-25-13,CSTL-076,HAMPTON,REC,FC
,,,,,,,,
2009,*,SALKEHATCHIE,030502070302,LEMON CREEK AT S-05-541,CSTL-116,BAMBERG,REC,FC
2013,,SALKEHATCHIE,030502070302,LEMON CREEK AT S-74,CSTL-576,BAMBERG,AL,BIO
,,,,,,,,
2017,,SALKEHATCHIE,030502070401,LITTLE SALKEHATCHIE @ SC 70,CSTL-566,BAMBERG,FISH,HG
,,,,,,,,
2009,*,SALKEHATCHIE,030502070403,LITTLE SALKEHATCHIE RIVER AT U.S. 601,CSTL-115,BAMBERG,REC,FC
,,,,,,,,
2008,*,SALKEHATCHIE,030502070504,BUCKHEAD CREEK AT SC 212,CSTL-119,COLLETON,REC,FC
,,,,,,,,
2009,*,SALKEHATCHIE,030502070505,WILLOW SWAMP AT S-15-27,CSTL-118,COLLETON,AL,CU
2009,*,SALKEHATCHIE,030502070505,WILLOW SWAMP AT S-15-27,CSTL-118,COLLETON,REC,FC
2013,,SALKEHATCHIE,030502070505,WILLOW CRK. AT SR 42,CSTL-570,COLLETON,AL,BIO
,,,,,,,,
2009,*,SALKEHATCHIE,030502070506,LITTLE SALKEHATCHIE RIVER AT SC 64,CSTL-117,COLLETON,REC,FC
"2015, 2015",,SALKEHATCHIE,030502070508,LITTLE SALKEHATCHIE RIVER AT SC 63,CSTL-120,COLLETON,AL,CU
"2015, 2015",,SALKEHATCHIE,030502070508,LITTLE SALKEHATCHIE RIVER AT SC 63,CSTL-120,COLLETON,AL,ZN
2017,,SALKEHATCHIE,030502070508,LITTLE SALKEHATCHIE RIVER AT SC 63,CSTL-120,COLLETON,FISH,HG
,,,,,,,,
